brand_id_1,brand_id_2,shared_subcat_n,shared_keyword_n,avg_price_gap
oster,retrosohoo,1,0,4.660000000000004
oster,shan zu,1,0,10.160000000000004
oster,styled settings,1,0,11.160000000000004
oster,syokami,1,0,31.650000000000006
oster,wangmazi,1,0,24.160000000000004
paudin,retrosohoo,1,0,2.4949999999999974
paudin,shan zu,1,0,3.0050000000000026
paudin,syokami,1,0,24.495000000000005
paudin,wangmazi,1,0,17.005000000000003
retrosohoo,shan zu,1,0,5.5
retrosohoo,styled settings,1,0,6.5
retrosohoo,syokami,1,0,26.990000000000002
retrosohoo,wangmazi,1,0,19.5
shan zu,styled settings,1,0,1.0
shan zu,syokami,1,0,21.490000000000002
shan zu,wangmazi,1,0,14.0
styled settings,syokami,1,0,20.490000000000002
styled settings,wangmazi,1,0,13.0
syokami,wangmazi,1,0,7.490000000000002
astercook,brodark,1,0,17.489999999999995
astercook,generic,1,0,26.99000000000001
astercook,klaus meyer,1,0,4.410000000000011
astercook,knifesaga,1,0,53.010000000000005
astercook,mdhand,1,0,26.99000000000001
astercook,nanfang brothers,1,0,28.760000000000005
astercook,wizeka,1,0,1.980000000000004
astercook,xyj,1,0,4.490000000000009
astercook,yatoshi knives,1,0,83.01
brodark,cuisinart,1,0,14.049999999999983
brodark,cutluxe,1,0,20.499999999999986
brodark,generic,1,0,9.500000000000014
brodark,henckels,1,0,45.45999999999998
brodark,hoshanho,1,0,30.30000000000001
brodark,huusk,1,0,30.5
brodark,imarku,1,0,10.499999999999986
brodark,keemake,1,0,5.499999999999986
brodark,klaus meyer,1,0,13.079999999999984
brodark,knifesaga,1,0,70.5
brodark,mac knife,1,0,27.45999999999998
brodark,mccook,1,0,26.499999999999986
brodark,mdhand,1,0,9.500000000000014
brodark,nanfang brothers,1,0,46.25
brodark,paudin,1,0,20.499999999999986
brodark,styled settings,1,0,9.500000000000014
brodark,wizeka,1,0,15.509999999999991
brodark,xyj,1,0,12.999999999999986
brodark,yatoshi knives,1,0,100.5
cuisinart,generic,1,0,23.549999999999997
cuisinart,klaus meyer,1,0,0.9699999999999989
cuisinart,knifesaga,1,0,56.45000000000002
cuisinart,mdhand,1,0,23.549999999999997
cuisinart,nanfang brothers,1,0,32.20000000000002
cuisinart,wizeka,1,0,1.460000000000008
cuisinart,xyj,1,0,1.0499999999999972
cuisinart,yatoshi knives,1,0,86.45000000000002
cutluxe,generic,1,0,30.0
cutluxe,klaus meyer,1,0,7.420000000000002
cutluxe,knifesaga,1,0,50.000000000000014
cutluxe,mdhand,1,0,30.0
cutluxe,nanfang brothers,1,0,25.750000000000014
cutluxe,wizeka,1,0,4.989999999999995
cutluxe,xyj,1,0,7.5
