keyword_id,product_id,search_rank,is_sponsored,is_best_seller,is_amazon_choice
mccook knife set,B09DK23PM1,30,0,0,0
mccook knife set,B0C9LP36Q5,31,0,0,0
mccook knife set,B0CKZ1MJ7Y,34,0,0,0
mccook knife set,B0FXG82C8S,35,0,0,0
mccook knife set,B0BNJWWR3S,36,0,0,0
mccook knife set,B0B974GRLY,37,0,0,0
mccook knife set,B0C4T1PBM6,38,0,0,0
mccook knife set,B0BFR8TJVX,40,0,0,0
mccook knife set,B0FM83SLTL,42,0,0,0
mccook knife set,B09Q5KPFXM,43,0,0,0
mccook knife set,B0CJ4X88K2,44,0,0,0
mccook knife set,B0F1XPMZVR,45,0,0,0
mccook knife set,B0FLXXDHTH,46,0,0,0
mccook knife set,B0CFXNZ26Z,47,0,0,0
mccook knife set,B0CSYKLLJ5,50,0,0,0
mccook knife set,B0FCKGK5R6,51,0,0,0
mccook knife set,B07BZD6HFZ,52,0,0,0
mccook knife set,B07H6WGWMD,54,0,0,0
mccook knife set,B0CD7FMZ67,56,0,0,0
mccook knife set,B0DHR9WPQN,57,0,0,0
mccook knife set,B0B9SK369P,61,0,0,0
mccook knife set,B0DGL99D84,62,0,0,0
mccook knife set,B0CN3KPCT1,63,0,0,0
mccook knife set,B009CS63KW,64,0,0,0
mccook knife set,B01ALYD1WI,65,0,0,0
mccook knife set,B0BVXQG121,66,0,0,0
mccook knife set,B00CLALZTM,69,0,0,0
mccook knife set,B0D7W3SYMR,71,0,0,0
mccook knife set,B00R3Z49G6,72,0,0,0
mccook knife set,B0F674HM8P,73,0,0,0
mccook knife set,B0DPMWVQX1,75,0,0,0
mccook knife set,B0D22R6RXB,76,0,0,0
mccook knife set,B098YPVMSK,77,0,0,0
mccook knife set,B0FDWWLQJM,78,0,0,0
mccook knife set,B0FL25YQ5J,80,0,0,0
mccook knife set,B09H3BFS6M,81,0,0,0
mccook knife set,B097C3ZS9X,82,0,0,0
mccook knife set,B0CSXWXWFW,83,0,0,0
mccook knife set,B0FQJ4DT9Q,85,0,0,0
mccook knife set,B0DNSWRZV7,86,0,0,0
mccook knife set,B0FQV4TYYL,88,0,0,0
mccook knife set,B0DBVFM1P9,89,0,0,0
mccook knife set,B0DLXK9PHN,90,0,0,0
mccook knife set,B0D2DFP5KG,91,0,0,0
mccook knife set,B0F3XBL19G,92,0,0,0
mccook knife set,B0029XAAQ0,93,0,0,0
mccook knife set,B08FB6TGN4,94,0,0,0
mccook knife set,B0FFB3XYJQ,95,0,0,0
mccook knife set,B01DUT3QSU,97,0,0,0
mccook knife set,B0DLKDH43D,98,0,0,0
mccook knife set,B0FHKS71B4,99,0,0,0
mccook knife set,B09B7WRM8P,100,0,0,0
mccook knife set,B09Q5Y461J,101,0,0,0
mccook knife set,B00N9HWFLS,102,0,0,0
mccook knife set,B0BXNXC6N4,103,0,0,0
