product_id,title,price_num,discount_rate,product_rating,product_rating_count,bsr_category_norm,best_subcat_name,best_subcat_rank,bsr_rank,is_fba,has_aplus,image_count,bullet_count,bought_count_number_clean
B0FSZKDY88,"PAUDIN Bread Knife 10"" + Utility Knife 5""",27.74,0.2072020577307803,0.0,0,,,,,1,1,9,5,
B0DF2W38BD,"DRAGON RIOT Damascus Chef Knife Set, 2pcs VG10 Professional Kitchen Knife Set, Ultra Sharp Blade & Ergonomic Wooden Handle, Full Tang Forged Damascus Steel Kitchen Cooking Knife Set with Gift Box",65.99,,4.6,92,kitchen & dining,,,61604.0,1,1,10,5,
B09V4X692D,"Knife Set, D.Perlla 15 Pieces Kitchen Knife Set with Built-in Sharpener, High Carbon Stainless Steel Knife Block Set with Unique Waved Pattern, Triple Riveted Ergonomic Handle, Black",55.99,,4.4,223,kitchen & dining,,,193631.0,0,1,10,5,
B0DM9ML5D3,PAUDIN Chef Knife Set + Brisket Knife,44.05,0.6853346667619116,0.0,0,,,,,1,1,9,5,
B0CDGYRRPY,"imarku® 15 PCS Kitchen Knife Set with Diamond Shaped Handle Dishwasher Safe Kitchen Knives Premium German High Carbon Stainless Steel Chef Knife Set, Father's Day Gifts",119.99,,4.7,2717,kitchen & dining,,,9856.0,1,1,10,5,
B0FFMGKQFB,"HOSHANHO 5 Pieces Knife Set, Japanese High Carbon Steel Kitchen Knife Sets, Professional Ultra Sharp Chef Knives Set with Ergonomic Rosewood Handle",249.99,,4.3,40,kitchen & dining,,,35566.0,1,1,9,5,50.0
B08V399L1Z,"HENCKELS Dynamic Razor-Sharp 7-Piece Knife Set, Chef Knife, Bread Knife, German Engineered Informed by 100+ Years of Mastery",79.98,0.0,4.5,148,kitchen & dining,,,41618.0,1,1,8,8,100.0
B0C6XGY493,Martha Stewart Ruxton 14 Piece High Carbon Stainless Steel Cutlery Knife Block Set w/ABS Triple Riveted Forged Handle Ashwood Block - Linen,59.99,,4.5,276,kitchen & dining,,,104135.0,1,1,8,5,
B0B1DK264D,"SHAN ZU Damascus Kitchen Knife Set, 7-Piece Professional Knife Sets for Chefs, Japanese Super Steel Damascus Kitchen Knife Set With G10 Handle Knife Block Set",289.99,0.1944274681926774,4.6,4099,kitchen & dining,,,33702.0,1,1,10,5,
B09797YFYY,PAUDIN Paring Knife and Chef Knife,25.05,0.6315092674315976,5.0,8,,,,,1,1,9,5,
