asin,sample_review_n,avg_review_rating_sample,review_rating_std_sample,verified_ratio,helpful_sum,helpful_mean,has_text_ratio,avg_text_len,first_review_date,last_review_date,scrape_cap_10_flag,scrape_cap_100_flag,brand,brand_norm,price_num,bsr_rank,is_fba,has_aplus,image_count,best_subcat_rank,best_subcat_name,bought_count_number_clean
B08BCFRNXN,2,5.0,0.0,1.0,0,0.0,1.0,153.0,2026-01-12,2026-01-12,0,0,imarku,imarku,79.99,2091.0,True,True,10,,,400.0
B08CD3XNRL,100,3.16,1.7391510758546722,0.86,17,0.17,1.0,161.57,2024-09-11,2025-12-30,0,1,Master Maison,master maison,42.99,107196.0,True,True,10,,,
B08DFSBW6J,10,4.0,1.3333333333333333,1.0,0,0.0,1.0,82.4,2025-12-12,2026-01-05,1,0,DDF iohEF,ddf iohef,15.99,12544.0,True,True,9,33.0,Chef's Knives,
B08FJDVTS2,2,5.0,0.0,1.0,0,0.0,1.0,33.5,2026-01-10,2026-01-11,0,0,McCook,mccook,52.99,4272.0,True,True,10,,,500.0
B08FVCDNW1,100,4.02,1.5503665255791492,0.94,64,0.64,0.99,166.69,2024-11-14,2026-01-12,0,1,Cuisinart,cuisinart,99.95,7294.0,True,True,9,,,100.0
B08FWRQ7WT,2,5.0,0.0,1.0,0,0.0,1.0,110.5,2025-12-11,2025-12-13,0,0,ENOKING,enoking,17.59,9360.0,True,True,9,4.0,Meat Cleavers,
B08KD27THM,10,4.3,1.3374935098492586,0.7,9,0.9,1.0,192.2,2025-07-06,2026-01-07,1,0,imarku,imarku,32.28,62027.0,True,True,9,2.0,Chinese Vegetable Knives,
B08WJS3KVB,4,4.25,1.5,1.0,0,0.0,1.0,102.5,2025-12-26,2026-01-02,0,0,Babish,babish,27.99,1581.0,True,True,9,14.0,Chef's Knives,
B091HDQRVN,10,4.5,1.2692955176439846,1.0,0,0.0,1.0,75.2,2025-11-29,2026-01-03,1,0,imarku,imarku,29.99,15155.0,True,True,9,31.0,Paring Knives,
B094NK5KG2,1,5.0,,1.0,0,0.0,1.0,14.0,2026-01-03,2026-01-03,0,0,imarku,imarku,49.99,2458.0,True,True,9,1.0,Santoku Knives,
B09521GB44,10,3.7,1.8885620632287057,1.0,2,0.2,1.0,92.0,2025-10-28,2026-01-08,1,0,Kitchen perfection,kitchen perfection,66.49,17666.0,True,True,9,139.0,Chef's Knives,
B09B9Q8TMC,1,5.0,,1.0,0,0.0,1.0,11.0,2025-12-28,2025-12-28,0,0,imarku,imarku,79.99,14121.0,True,True,9,47.0,Block Knife Sets,
B09BQWMZ45,10,4.4,1.2649110640673518,1.0,0,0.0,1.0,95.7,2025-12-27,2026-01-12,1,0,Dockorio,dockorio,33.99,16924.0,True,True,10,,,200.0
B09DK23PM1,10,4.4,1.2649110640673518,1.0,1,0.1,1.0,267.5,2025-12-15,2026-01-03,1,0,Astercook,astercook,54.99,19558.0,False,True,10,,,1000.0
B09GBBMTNS,6,2.8333333333333335,2.0412414523193148,1.0,31,5.166666666666667,1.0,446.1666666666667,2025-12-08,2025-12-09,0,0,McCook,mccook,129.99,140.0,True,True,10,,,1000.0
B09GG9G6XS,10,4.4,1.2649110640673518,1.0,0,0.0,1.0,78.6,2026-01-06,2026-01-13,1,0,Gourmetop,gourmetop,17.99,3858.0,True,True,9,,,200.0
B09KT6YX71,7,4.0,1.5275252316519468,0.8571428571428571,1,0.14285714285714285,1.0,128.28571428571428,2025-12-28,2026-01-10,0,0,McCook,mccook,74.99,4272.0,True,True,10,,,100.0
B09MLGKDZ7,7,4.428571428571429,1.1338934190276817,0.7142857142857143,2,0.2857142857142857,1.0,132.28571428571428,2025-03-13,2025-10-09,0,0,imarku,imarku,209.99,57900.0,True,True,9,517.0,Block Knife Sets,
B09NW1J2NW,10,4.1,1.286683937707919,0.8,0,0.0,1.0,79.1,2025-12-22,2026-01-05,1,0,COKUMA,cokuma,7.98,3378.0,True,True,10,,,2000.0
B09WW6VGHX,10,4.8,0.4216370213557839,1.0,3,0.3,1.0,148.1,2025-12-21,2026-01-06,1,0,Amazon Basics,amazon basics,13.59,3864.0,False,True,8,,,1000.0
B09Y91CSXD,10,4.6,1.2649110640673518,0.9,0,0.0,1.0,54.7,2026-01-03,2026-01-08,1,0,HOSHANHO,hoshanho,28.47,2443.0,False,True,10,,,5000.0
B0B5DPM2XX,10,4.6,1.2649110640673518,1.0,3,0.3,1.0,197.7,2025-12-15,2026-01-08,1,0,ENOKING,enoking,29.99,12779.0,True,True,10,,,50.0
B0B8NCBW6M,10,4.8,0.6324555320336759,0.8,3,0.3,1.0,117.1,2025-05-31,2026-01-08,1,0,imarku,imarku,69.99,193640.0,True,True,9,412.0,Steak Knife Sets,
B0B974GRLY,10,4.6,0.8432740427115678,1.0,0,0.0,1.0,255.4,2025-11-30,2026-01-03,1,0,BRODARK,brodark,99.99,27317.0,False,True,10,,,500.0
B0BFR8TJVX,9,4.888888888888889,0.33333333333333337,1.0,0,0.0,1.0,94.44444444444444,2025-12-29,2026-01-06,0,0,imarku,imarku,90.99,7849.0,True,True,10,,,400.0
B0BG8SPHTD,10,4.0,1.699673171197595,0.7,2,0.2,1.0,90.2,2024-08-12,2025-10-19,1,0,imarku,imarku,129.17,395063.0,True,True,10,,,
B0BW4Y6B95,10,4.4,1.07496769977314,1.0,4,0.4,1.0,203.8,2025-07-05,2026-01-10,1,0,Oster,oster,35.74,38135.0,True,True,9,,,100.0
B0BWYH3D6G,100,3.07,1.6468825769380835,0.89,33,0.33,1.0,156.35,2025-05-28,2026-01-12,0,1,Home Hero,home hero,59.99,,True,True,10,,,
B0C1BQTQKL,10,5.0,0.0,0.7,3,0.3,1.0,106.3,2025-12-21,2026-01-04,1,0,HOSHANHO,hoshanho,28.46,7326.0,False,True,10,,,1000.0
B0C1YBPJ43,10,4.4,1.0749676997731399,0.9,0,0.0,1.0,97.0,2025-12-28,2026-01-07,1,0,Astercook,astercook,39.97,1306.0,False,True,10,,,3000.0
B0C3PXKWWS,10,4.9,0.31622776601683794,1.0,0,0.0,1.0,144.1,2025-12-28,2026-01-07,1,0,imarku,imarku,99.99,6676.0,True,True,9,23.0,Block Knife Sets,
B0C61SJWDD,10,4.8,0.6324555320336759,0.9,2,0.2,1.0,130.7,2025-02-24,2025-10-12,1,0,imarku,imarku,94.99,322279.0,True,True,10,,,
B0C7G4NDN9,10,4.8,0.4216370213557839,0.8,0,0.0,1.0,94.6,2025-11-30,2026-01-07,1,0,imarku,imarku,99.99,30224.0,True,True,9,108.0,Block Knife Sets,
B0C9JVQ2RB,10,4.5,1.2692955176439846,0.9,0,0.0,1.0,159.9,2026-01-04,2026-01-12,1,0,Wakoli,wakoli,89.0,24144.0,True,True,10,,,100.0
B0C9LP36Q5,10,4.8,0.4216370213557839,0.8,0,0.0,1.0,181.6,2025-12-28,2026-01-07,1,0,SYOKAMI,syokami,89.98,10475.0,True,True,10,,,1000.0
B0C9MPD7ZP,10,4.9,0.31622776601683794,0.9,0,0.0,1.0,116.5,2025-12-18,2026-01-04,1,0,SYOKAMI,syokami,89.99,15036.0,True,True,9,38.0,Kitchen Knife Sets,
B0C9QNK6HR,1,5.0,,0.0,0,0.0,1.0,682.0,2025-11-27,2025-11-27,0,0,imarku,imarku,99.99,57901.0,True,True,9,31.0,Steak Knives,
B0CCJ3FCCW,10,4.5,1.2692955176439846,1.0,0,0.0,1.0,95.2,2025-11-18,2026-01-06,1,0,MAD SHARK,mad shark,23.95,52501.0,False,True,10,,,
B0CGKM92PQ,10,4.3,1.4944341180973264,0.9,0,0.0,1.0,137.8,2026-01-04,2026-01-11,1,0,Babish,babish,139.99,2257.0,True,True,9,,,100.0
B0CJRQXTZ6,10,4.7,0.9486832980505138,0.3,0,0.0,1.0,243.3,2024-01-15,2025-01-27,1,0,imarku,imarku,129.99,560767.0,True,True,9,2265.0,Chef's Knives,
B0CKZ1MJ7Y,10,4.6,1.2649110640673518,0.8,0,0.0,1.0,135.7,2025-12-30,2026-01-06,1,0,HOSHANHO,hoshanho,66.46,20099.0,True,True,10,,,1000.0
B0CL96FX6Q,10,3.8,1.9321835661585915,0.9,2,0.2,1.0,133.5,2025-12-03,2026-01-04,1,0,Astercook,astercook,119.99,54959.0,False,True,10,,,50.0
B0CLVMXH3Y,10,4.7,0.48304589153964794,0.9,0,0.0,1.0,96.5,2026-01-07,2026-01-08,1,0,Matsato,matsato,27.99,1312.0,True,True,10,,,4000.0
